,Diluted Equity,ROA,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Common Stock Equity,Tangible Book Value,Invested Capital,End Cash Position,Financing Cash Flow,Operating Cash Flow,Total Revenue,Investing Cash Flow,Tax Effect of Unusual Items,Pretax Income
10,-65.9406,-0.14149627804851925,193031.0,273794.0,273794.0,264115.0,407068.0,67028.0,42596.0,-1754.0,190872.0,-32116.0,1.995,-51387.0
11,55786.956,0.16323009842961633,248028000.0,90488000.0,90488000.0,90488000.0,198535000.0,50224000.0,-90976000.0,69391000.0,260174000.0,45896000.0,0.0,65737000.0
12,0.0,-0.03904837592775911,83318.0,131851.0,131851.0,96814.0,131851.0,16930.0,993.0,16092.0,110100.0,-16491.0,-76.82,-7018.0
13,0.0,0.014186038538023726,45289.0,71375.0,71375.0,33958.0,90798.0,4249.0,-3742.0,3224.0,133446.0,-2906.0,38.61,1370.0
14,55.3014,0.09596826096855678,202148.0,355651.0,355651.0,147250.0,418651.0,119629.0,-130.0,47112.0,502363.0,-73414.0,0.0,58896.0
15,0.0,-0.009416735630327864,386086.0,357059.0,357059.0,56301.0,535727.0,223497.0,191916.0,31393.0,458915.0,-35839.0,-201.15,3388.0
16,2740.5,0.14224137931034483,10810000.0,8214000.0,8214000.0,4659000.0,13527000.0,3129000.0,-3115000.0,3247000.0,14608000.0,-443000.0,0.0,3269000.0
17,-46.3176,-0.08494981755285656,79204.0,448072.0,448072.0,403645.0,448072.0,231412.0,6516.0,39414.0,228732.0,-8576.0,0.0,-41628.0
18,0.0,0.026917453837250287,2705376.0,1990239.0,1963739.0,1937763.0,3413973.0,898532.0,108250.0,563850.0,4052650.0,-462489.0,-1672.0,159810.0
19,0.0,-0.7309377738825592,2705.0,3000.0,3000.0,1723.0,3000.0,4094.0,6691.0,-2810.0,59.749,-795.748,0.0,-4170.0
20,455.4025,0.09365294126521244,1385508.0,3453379.0,3453379.0,563388.0,3951910.0,872094.0,429409.0,499936.0,1515892.0,-833548.0,-296.072,522583.0
21,0.0,-0.007686593798514135,361051.0,431888.0,293689.0,268417.0,423578.0,162704.0,37651.0,62315.0,464909.0,-60849.0,-99.0,-17909.0
22,35.567,0.13949143028504202,128152.0,131950.0,131950.0,22125.0,180533.0,16247.0,-7272.0,38887.0,256012.0,-89874.0,0.0,4823.0
23,0.0,-0.13651695223225702,166248.0,205237.0,205237.0,205237.0,205237.0,159755.0,105549.0,-8926.0,260352.0,-32421.0,0.0,-49894.0
24,2571.76,0.11374924877152048,10037400.0,12592200.0,12592200.0,6946700.0,15700500.0,3532300.0,-1712300.0,3276400.0,11820000.0,-1157500.0,0.0,2765800.0
25,0.0,-0.8727034120734908,1468.0,13772.0,13772.0,13772.0,13772.0,14871.0,6397.0,-10408.0,533.0,-51.0,0.0,-13300.0
26,0.0,-2.5593479368313807,16651.0,-14688.0,-14688.0,-14688.0,-6122.0,1879.0,-286664.0,-3412.0,0.0,291819.0,0.0,-4808.0
27,261.9119,0.1831299259554954,738787.0,493715.0,493715.0,312881.0,921247.0,287796.0,49435.0,243258.0,590181.0,-76203.0,0.0,270821.0
