,Symbol,Date,Diluted EPS,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Common Stock Equity,Tangible Book Value,Invested Capital,End Cash Position,Financing Cash Flow,Operating Cash Flow,Total Revenue,Diluted Average Shares,Investing Cash Flow,Normalized Income,Tax Effect of Unusual Items,Pretax Income
0,ACIA,12/31/2019,0.0,721415.0,142992.0,578423.0,578423.0,578423.0,578423.0,36617.0,6933.0,72819.0,464663.0,42554.0,-103579.0,,,
1,ACMR,12/31/2019,0.0,217703.0,120382.0,97321.0,97321.0,96977.0,111074.0,117859.0,87445.0,9403.0,107524.0,19135.0,-5531.0,,,
2,ADBE,11/30/2019,0.006,20762400.0,10232245.0,10530155.0,10530155.0,-1881609.0,14668422.0,2650221.0,-2946044.0,4421813.0,11171297.0,491572.0,-455584.0,,,
3,AGMH,12/31/2019,0.0,14514.0,2663.0,11851.0,11851.0,4718.0,11851.0,2077.0,-526.329,-196.393,709.63,20951.0,-5010.0,,,
4,AIRG,12/31/2019,0.0,54726.0,6822.0,47904.0,47904.0,40407.0,47904.0,13197.0,-392.0,2350.0,55739.0,10097.0,-2382.0,,,
5,API,12/31/2019,0.0,131159.0,258452.0,-127293.0,-127293.0,-127293.0,-127293.0,105683.0,0.0,706.423,64429.0,70893.0,-3353.0,,,
6,JOBS,12/31/2019,0.008,14289542.0,3315506.0,10974036.0,10948331.0,9709045.0,10948331.0,2361073.0,281376.0,1761773.0,4000025.0,66683.0,-1678532.0,,,
7,KERN,6/30/2020,-0.002,58530.0,21955.0,36574.0,31870.0,1493.0,48206.0,24656.0,20234.0,-14348.0,12573.0,6045.0,-3598.0,,,
8,TWOU,12/31/2019,-0.0038,1186830.0,475580.0,711250.0,711250.0,-40175.0,957870.0,189869.0,244518.0,-51974.0,574671.0,61394.0,-451398.0,,,
9,VNET,12/31/2019,-0.0016,14273706.0,9042078.0,5231628.0,4953073.0,3552948.0,8271428.0,2357177.0,461557.0,802922.0,3788967.0,111472.0,-1611983.0,,,
10,AAOI,12/31/2019,-0.0033,466825.0,193031.0,273794.0,273794.0,264115.0,407068.0,67028.0,42596.0,-1754.0,190872.0,19982.0,-32116.0,-66054.0,1.995,-51387.0
11,AAPL,9/30/2019,0.003,338516000.0,248028000.0,90488000.0,90488000.0,90488000.0,198535000.0,50224000.0,-90976000.0,69391000.0,260174000.0,18595652.0,45896000.0,55256000.0,0.0,65737000.0
12,ALLT,12/31/2019,0.0,215169.0,83318.0,131851.0,131851.0,96814.0,131851.0,16930.0,993.0,16092.0,110100.0,34251.0,-16491.0,-8402.0,-76.82,-7018.0
13,ALOT,1/31/2020,0.0,116664.0,45289.0,71375.0,71375.0,33958.0,90798.0,4249.0,-3742.0,3224.0,133446.0,7238.0,-2906.0,1655.0,38.61,1370.0
14,ALRM,12/31/2019,0.0011,557799.0,202148.0,355651.0,355651.0,147250.0,418651.0,119629.0,-130.0,47112.0,502363.0,50274.0,-73414.0,53531.0,0.0,58896.0
15,ALTR,12/31/2019,0.0,743145.0,386086.0,357059.0,357059.0,56301.0,535727.0,223497.0,191916.0,31393.0,458915.0,71544.0,-35839.0,-6998.0,-201.15,3388.0
